selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand,model,car_age,km_per_year
450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,Swift Dzire VDI,7,20785.714285714286
370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,Skoda,Rapid 1.5 TDI Ambition,7,17142.85714285714
158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,Honda,City 2017-2020 EXi,15,9333.333333333334
225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai,i20 Sportz Diesel,11,11545.454545454546
130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,Maruti,Swift VXI BSIII,14,8571.42857142857
440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai,Xcent 1.2 VTVT E Plus,4,11250.0
96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,Maruti,Wagon R LXI DUO BSIII,14,12500.0
45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti,800 DX BSII,20,250.0
350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,Toyota,Etios VXD,10,9000.0
200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,Ford,Figo Diesel Celebration Edition,8,21125.0
500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault,Duster 110PS Diesel RxL,7,9714.285714285714
92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,Zen LX,16,6250.0
280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,Maruti,Swift Dzire VDi,12,11666.666666666666
200000,80000,Petrol,Individual,Manual,Second Owner,19.33,1248.0,82.0,5.0,Maruti,Swift 1.3 VXi,14,5714.285714285715
180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti,Wagon R LXI Minor,12,7500.0
400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,Mahindra,KUV 100 mFALCON G80 K8 5str,5,8000.0
778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,Maruti,Ertiga SHVS VDI,5,14000.0
500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,Hyundai,i20 1.4 CRDi Asta,9,5888.888888888889
150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti,Alto LX,19,4210.526315789473
680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,i20 2015-2017 Asta 1.4 CRDi,5,20000.0
174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,Mahindra,Verito 1.5 D4 BSIII,10,10000.0
950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda,WR-V i-DTEC VX,4,12500.0
525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,Swift Dzire ZDI,6,6666.666666666667
600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,Maruti,SX4 ZDI,9,8000.0
500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,Tata,Tigor 2017-2020 XZ,3,11666.666666666666
575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,Baleno Delta 1.2,5,9000.0
275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,Alto 800 LXI,4,7000.0
300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,Chevrolet,Enjoy TCDi LTZ 7 Seater,8,8750.0
220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti,Wagon R LXI Minor,12,10000.0
254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,Maruti,Omni E MPI STD BS IV,3,8333.333333333334
670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza LDi Option,4,17500.0
70000,50000,Petrol,Individual,Manual,Second Owner,19.33,1248.0,82.0,5.0,Fiat,Palio 1.2 ELX,18,2777.777777777778
150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,Maruti,Omni 8 Seater BSIV,9,3888.8888888888887
730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai,i20 1.2 Asta Dual Tone,3,796.0
650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza LDi,4,4050.0
330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,Maruti,Alto 800 CNG LXI Optional,2,5000.0
